rank,company,cik,ticker,sic,state_location,state_of_incorporation,revenues,profits
144,Halliburton,1357615,KBR,1600,TX,DE,17973,1835
145,United Services Automobile Assn.,,PRIVATE,,,,17946.1,2637.4
146,J.C. Penney,1166126,JCP,5311,TX,DE,17759,389
147,Southern,92122,SO,4911,GA,DE,17456,1975
148,United States Steel,1163302,X,3312,PA,DE,17374,-482
149,Ally Financial,4977,AFL,6321,GA,GA,17373,1075
150,AES,874761,AES,4991,VA,DE,17138,9
151,PNC Financial Services Group,1178970,PFS,6035,NJ,DE,17096,3412
152,EMC,790070,EMC,3572,MA,MA,17015.1,1900
153,Union Pacific,100885,UNP,4011,NE,UT,16965,2780
154,Altria Group,764180,MO,2111,VA,VA,16892,3905
155,Computer Sciences,23082,CSC,7373,VA,NV,16128,817
156,Illinois Tool Works,49826,ITW,3560,IL,DE,15870.4,1527.2
157,Nucor,73309,NUE,3312,NC,DE,15844.6,134.1
158,Medtronic,64670,MDT,3845,MN,MN,15817,3099
159,L-3 Communications,1113256,LCS,3714,DE,IN,15680,955
160,Colgate-Palmolive,21665,CL,2844,NY,DE,15564,2203
161,NextEra Energy,753308,NEE,4911,FL,FL,15317,1957
162,Dominion Resources,1355795,DR,6331,CT,DE,15264,2808
163,Amgen,318154,AMGN,2836,CA,DE,15053,4627
164,Progressive,80661,PGR,6331,OH,OH,14963.3,1068.3
165,Bank of New York Mellon Corp.,1390777,BK,6022,NY,DE,14929,2518
166,General Mills,1467858,GM,3711,MI,MI,14796.5,1530.5
167,Gap,39911,GPS,5651,CA,DE,14664,1204
168,Loews,60086,L,6331,NY,DE,14621,1288
169,American Electric Power,4904,AEP,4911,OH,NY,14427,1211
170,Baker Hughes,808362,BHI,3533,TX,DE,14414,812
171,TRW Automotive Holdings,1267097,TRW,3714,MI,DE,14383,834
172,Constellation Energy,1004440,CEG,4911,MD,MD,14340,-982.6
173,Duke Energy,1326160,DUK,4931,NC,DE,14272,1320
174,CBS,813828,CBS,4833,NY,DE,14059.8,724.2
175,Texas Instruments,97476,TXN,3674,TX,DE,13966,3228
176,"Toys ""R"" Us",1005414,TOY,5945,NJ,DE,13864,168
177,PG&E Corp.,1004980,PCG,4931,CA,CA,13841,1099
178,Eaton,31277,ETN,3590,OH,OH,13715,929
179,Health Net,916085,HNT,6324,CA,DE,13619.9,204.2
180,Viacom,1339947,VIA,4841,NY,DE,13497,1548
181,PPG Industries,79879,PPG,2851,PA,PA,13423,769
182,Jabil Circuit,898293,JBL,3672,FL,DE,13409.4,168.8
183,FirstEnergy,1031296,FE,4911,OH,OH,13339,784
184,Consolidated Edison,1047862,ED,4931,NY,NY,13325,992
185,Chubb,20171,CB,6331,NJ,NJ,13319,2174
186,Cummins,26172,CMI,3510,IN,IN,13226,1040
187,Danaher,313616,DHR,3823,DC,DE,13202.6,1793
188,Dollar General,29534,DG,5331,TN,TN,13035,627.9
189,Oneok,1415600,ONK,1000,NY,AZ,13030.1,334.6
190,Community Health Systems,1108109,CYH,8062,TN,DE,12986.5,280
191,Sara Lee,23666,SLE,2000,IL,MD,12919,506
192,Baxter International,10456,BAX,3841,IL,DE,12843,1420
193,DISH Network,1001082,DISH,4841,CO,NV,12640.7,984.7
194,Aramark,1144528,RMK,5812,PA,DE,12571.7,30.7
195,Omnicom Group,29989,OMC,7311,NY,NY,12542.5,827.7
196,Waste Management,823768,WM,4953,TX,DE,12515,953
197,AutoNation,350698,AN,5500,FL,DE,12501.5,226.6
198,Edison International,827052,EIX,4911,CA,CA,12409,1256
199,Kellogg,55067,K,2040,MI,DE,12397,1247
200,ConAgra Foods,23217,CAG,2000,NE,DE,12370.2,725.8
201,Public Service Enterprise Group,788784,PEG,4931,NJ,NJ,12195,1564
