rank,company,cik,ticker,sic,state_location,state_of_incorporation,revenues,profits
443,Wesco International,929008,WCC,5063,PA,,5063.9,115.5
444,Live Nation Entertainment,1335258,LYV,7900,CA,DE,5063.7,-228.4
445,Avaya,1140022,AV,6311,DE,DE,5060,-874
446,Foot Locker,850209,FL,5661,NY,NY,5049,169
447,Laboratory Corp. of America,920148,LH,8071,NC,DE,5003.9,558.2
448,Owens Corning,1370946,OC,3290,OH,DE,4997,933
449,Nash-Finch,69671,NAFC,5140,MN,DE,4992,50.9
450,Telephone & Data Systems,1051512,TDS,4813,IL,DE,4986.8,143.8
451,Polo Ralph Lauren,1037038,RL,2320,NY,DE,4978.9,479.5
452,Apollo Group,929887,APOL,8200,AZ,AZ,4958.1,553
453,Big Lots,768835,BIG,5331,OH,OH,4952.2,222.5
454,Con-way,23675,CNW,4213,MI,DE,4952,4
455,Kelly Services,55135,KELYA,7363,MI,DE,4950.3,26.1
456,Western & Southern Financial Group,,PRIVATE,,,,4921.1,219.8
457,Allergan,850693,AGN,2834,CA,DE,4919.4,0.6
458,Harley-Davidson,793952,HOG,3751,WI,WI,4907.9,146.5
459,Northeast Utilities,72741,NU,4911,MA,MA,4898.2,387.9
460,SPX,88205,SPX,3540,NC,DE,4892.7,205.6
461,Erie Insurance Group,922621,ERIE,6411,PA,PA,4890,162.2
462,Bemis,11199,BMS,2670,WI,MO,4890,205.1
463,Meritor,1113256,MTOR,3714,MI,IN,4882,12
464,Dick's Sporting Goods,1089063,DKS,5940,PA,DE,4871.5,182.1
465,General Cable,886035,BGC,3357,KY,DE,4864.9,69.5
466,Rockwell Automation,1024478,ROK,3829,WI,DE,4857,464.3
467,United Stationers,355999,USTR,5110,IL,DE,4832.2,112.8
468,SanDisk,1000180,SNDK,3572,CA,DE,4826.8,1300.1
469,NCR,70866,NCR,3578,MD,MD,4819,134
470,Washington Post,104889,WPO,8200,DC,DE,4817.1,278.1
471,Insight Enterprises,932696,NSIT,5961,AZ,DE,4809.9,75.5
472,Alliant Techsystems,866121,ATK,3760,MN,DE,4807.7,278.7
473,Atmos Energy,731802,ATO,4924,TX,TX,4789.7,205.8
474,AbitibiBowater,1393066,ABH,2621,AZ,DE,4746,-1940
475,W.R. Berkley,11544,WRB,6331,CT,DE,4724.1,449.3
476,Biogen Idec,875045,BIIB,2836,MA,DE,4716.4,1005.3
477,Cliffs Natural Resources,1468944,CNR,6500,DE,AZ,4682.2,1019.9
478,Rockwell Collins,1137411,COL,3728,IA,DE,4665,561
479,Phillips-Van Heusen,78239,PVH,2320,NY,DE,4636.8,53.8
480,Graybar Electric,,PRIVATE,,,,4616.4,42
481,El Paso,1066107,EP,4922,TX,DE,4616,758
482,J.M. Smucker,91419,SJM,2033,OH,OH,4605.3,494.1
483,Scana,754737,SCG,4931,SC,SC,4601,376
484,Cognizant Technology Solutions,1058290,CTSH,7371,NJ,,4592.4,733.5
485,Terex,97216,TEX,3537,CT,DE,4575.9,358.5
486,PulteGroup,80424,PG,2840,OH,OH,4569.3,-1096.7
487,Genzyme,1064863,GNZ,5400,VA,DE,4535.9,422.1
488,YRC Worldwide,716006,YRCW,4213,KS,DE,4528.8,-322.2
489,American Financial Group,1042046,AFG,6331,OH,OH,4497,479
490,Sealed Air,1012100,SEE,2670,NJ,DE,4490.1,255.9
491,Charles Schwab,316709,SCHW,6211,CA,DE,4474,454
492,RadioShack,883977,ROS,6798,PA,DE,4472.7,206.1
493,Centene,1071739,CNC,6324,MO,MO,4470.1,94.8
494,Host Hotels & Resorts,1070750,HST,6798,MD,MD,4442,-130
495,NYSE Euronext,1368007,NYX,6200,NY,DE,4425,577
496,Levi Strauss,,PRIVATE,,,,4410.6,156.5
497,NuStar Energy,1110805,NS,4610,TX,DE,4403.1,239
498,Ruddick,85704,RDK,5411,NC,NC,4400.5,112
499,D.R. Horton,882184,DHI,1531,TX,DE,4400.2,245.1
500,Seaboard,88121,SEB,2011,KS,DE,4385.7,283.6
